,Symbols,Expression Cutoffs,log-rank P Values,best_quantile,higher_median,lower_median
39,MYOM2,0.23024433827719998,0.21832839593343034,0.7,9.484931506849316,17.687671232876713
40,EVX1,0.011838207615900001,0.0034049914557196526,0.5,9.567123287671233,20.424657534246574
41,MAP9,4.059244613814,0.038029805711314056,0.8,8.936986301369863,17.687671232876713
42,APIP,2.3266269405110003,0.0012993411994898722,0.1,10.808219178082192,7.852054794520548
43,MAF1,87.32638923745,0.0014313023883739853,0.9,6.802739726027397,10.808219178082192
44,FOXP1,4.476944731418,0.3934066769054728,0.2,10.797260273972602,20.424657534246574
45,PLCE1,2.898483953137001,0.045339989470698304,0.9,17.687671232876713,10.756164383561643
46,RAD17,6.537431616821,0.24876054797765712,0.3,10.610958904109589,17.687671232876713
47,SPCS2,16.41861653802,0.16361062212572625,0.6,18.063013698630137,10.610958904109589
48,SETDB2,2.266915815154,0.1944057269358747,0.4,10.052054794520547,17.687671232876713
49,DESI2,23.12090547011,0.07775196928368404,0.9,inf,10.756164383561643
50,PAX3,0.018428391374520004,0.11510518688170326,0.4,17.687671232876713,10.756164383561643
51,COX17,18.260404932,0.11630450813369499,0.8,18.063013698630137,10.797260273972602
52,NLGN2,3.045714537878,0.249862359257079,0.1,10.797260273972602,inf
53,SERPINE3,0.026179620451820002,0.12661904499426146,0.2,17.687671232876713,9.484931506849316
54,PKMYT1,0.6756691261406,0.028895543287316142,0.1,12.208219178082192,9.364383561643836
55,FAM89B,19.97156421263,0.5398929653224752,0.7,12.208219178082192,10.610958904109589
56,MED8,16.69495105751,0.16272262401067744,0.7,17.687671232876713,10.797260273972602
57,PHF1,9.655597284822,0.3302609176250343,0.2,10.808219178082192,17.687671232876713
58,ZNF781,0.5730096905402999,0.035635508897313393,0.9,9.364383561643836,12.208219178082192
59,FAM69A,3.925203005686001,0.024466474328238813,0.4,10.610958904109589,12.208219178082192
60,ANKMY1,2.4268808461560005,0.06481869769753223,0.9,inf,10.797260273972602
61,PSMB6,32.05938040731,0.1201776670187645,0.1,17.687671232876713,8.123287671232877
62,GUCY1A3,9.62788007692,0.27979219232644137,0.8,10.052054794520547,12.208219178082192
63,PRKG2,0.7650227930278002,0.03406075812287641,0.9,8.564383561643835,12.208219178082192
64,FBXO45,3.727336004344,0.05232635247185784,0.2,12.208219178082192,9.484931506849316
65,AMZ2,32.724693177350005,0.2058282982854557,0.9,inf,10.808219178082192
66,TMEM52,0.6481073362978002,0.21838128271610227,0.4,17.687671232876713,9.484931506849316
67,CHN2,0.2963154346686,0.4676257614340683,0.2,10.756164383561643,20.424657534246574
68,GCNT4,0.5424329262268,0.4327968599035207,0.6,9.567123287671233,17.687671232876713
69,KLK8,0.014841923595340003,0.027394874068679746,0.2,12.208219178082192,10.610958904109589
70,IP6K3,0.1421679116848,0.02354824897650217,0.8,9.484931506849316,10.797260273972602
71,MTF2,6.3961803087420055,0.01465815834170596,0.9,inf,10.756164383561643
72,PIH1D2,0.9300495984107999,0.13018262715693804,0.6,10.797260273972602,12.208219178082192
73,MT1A,0.1132937973031,0.21466608872501305,0.1,10.797260273972602,10.808219178082192
74,ATP2A1,0.103026430145,0.22218189784089867,0.1,10.797260273972602,inf
75,NCAPG,0.7246274254898,0.16393216656618026,0.1,12.208219178082192,9.364383561643836
76,FANK1,2.0169609567,0.005907653610207325,0.5,10.808219178082192,12.208219178082192
77,NOP2,6.55952978941,0.027490018319413115,0.2,18.063013698630137,8.936986301369863
78,ZNF880,0.976641260369,0.06990719478721336,0.1,12.208219178082192,9.484931506849316
79,MFI2,0.6471807529702001,0.2735174145401662,0.1,10.808219178082192,18.063013698630137
80,PTPRB,2.128541494678,0.09035116768231162,0.6,9.482191780821918,17.687671232876713
81,DGKD,10.282899569110004,0.03296558300053235,0.9,8.564383561643835,12.208219178082192
82,TMCO1,28.95345242735,0.42134146251490456,0.5,10.756164383561643,12.208219178082192
83,RAB5C,25.432940043050003,0.12135235952699805,0.1,10.756164383561643,18.063013698630137
84,UPP1,2.543953628368,0.222843885299206,0.7,20.424657534246574,10.756164383561643
85,TRABD2B,0.10010804987392001,0.07017764303639058,0.1,10.808219178082192,6.989041095890411
86,AMN,0.013661649167300002,0.1852652692939368,0.2,10.808219178082192,10.797260273972602
87,KLK10,0.06008865389464,0.0038286109787196406,0.2,12.208219178082192,8.564383561643835
88,KDM5B,7.831325609399001,0.07474123837273157,0.1,12.208219178082192,9.484931506849316
89,STPG1,1.2334087878600002,0.1523246222832812,0.4,10.808219178082192,12.208219178082192
90,FHOD1,7.954391598118001,0.00036409699146536045,0.8,9.567123287671233,17.687671232876713
91,PTPRH,0.07222566028238,0.06155426116531906,0.2,10.756164383561643,10.797260273972602
92,PCMTD1,6.934403683386,0.02695207850571723,0.1,10.808219178082192,8.391780821917807
93,GLRA3,0.13268822109819994,0.17055027239472517,0.7,9.567123287671233,12.208219178082192
94,FAM188B,0.2831332191204,0.19631475593364228,0.6,10.808219178082192,10.756164383561643
95,MAP2K7,4.76077672822,0.17442710528121178,0.1,10.797260273972602,inf
96,AP5S1,2.4802547594310003,0.032627028666201305,0.3,10.610958904109589,20.424657534246574
97,GRIP1,0.8145652848571,0.3030295446195804,0.3,10.808219178082192,12.208219178082192
98,VRK3,2.96568387285,0.2634249716686735,0.2,10.797260273972602,17.687671232876713
99,SLC2A1,17.09076611575,0.023275055704299934,0.5,20.424657534246574,10.610958904109589
100,WNT1,0.03418945391802,0.4143839159447985,0.6,18.063013698630137,10.797260273972602
101,MUSK,0.010174623894049998,0.11913047063629187,0.5,10.052054794520547,20.424657534246574
102,SPINK1,0.017287437016520003,0.2407655325868665,0.2,12.208219178082192,10.808219178082192
103,HCG27,0.1416282666287,0.06599612238576501,0.1,12.208219178082192,9.482191780821918
104,GLYCTK,2.0089411205710004,0.002934350934145224,0.9,9.567123287671233,12.208219178082192
105,MASP2,0.09629266950154,0.40452253119839576,0.2,10.610958904109589,inf
106,RPRM,0.12617018293829999,0.04762653844691775,0.7,18.063013698630137,10.610958904109589
107,TNNT1,0.43066382622460003,0.1636050238462498,0.2,10.808219178082192,10.052054794520547
108,MT-ND1,2060.525922628,0.033296416820452306,0.3,12.208219178082192,8.936986301369863
109,PPOX,8.381835514542,0.14469683365261565,0.9,inf,10.797260273972602
110,H6PD,10.030290065880001,0.3316956271745859,0.4,10.756164383561643,12.208219178082192
111,RCOR1,7.905862766574,0.2054821769788225,0.4,10.808219178082192,10.610958904109589
112,GRAMD1C,1.374312679396,0.05059440423868515,0.6,20.424657534246574,10.797260273972602
113,RPS6KB1,4.965119501246001,0.19573244679589885,0.3,10.756164383561643,17.687671232876713
114,GLI3,1.864826852837,0.11015349406280159,0.1,10.797260273972602,20.424657534246574
115,KCNE4,3.4900987774040004,0.1263956101043366,0.4,10.808219178082192,20.424657534246574
116,HOXC13,0.9136026106536,0.03097053113730329,0.2,10.610958904109589,20.424657534246574
117,FAM217B,4.926522738008,0.10149795106862888,0.7,inf,10.756164383561643
118,FCGR2B,1.3479539511099998,0.2389049984764688,0.6,10.052054794520547,10.808219178082192
